ID,condition,guessed_direction,correct,response_time,confidence
1,rotation,right,1,2.089221001,7
1,rotation,left,1,1.99190402,7
1,rotation,left,1,2.589330912,7
1,rotation,left,0,4.912902832,5
1,rotation,left,1,3.016546011,5
1,rotation,right,1,3.876685143,6
1,rotation,left,0,3.046040058,6
1,rotation,right,0,3.182497978,6
1,rotation,right,1,2.854348183,6
1,rotation,left,1,3.096954107,5
1,step,right,1,1.677865028,7
1,step,right,1,2.193161011,7
1,step,left,1,1.994709015,6
1,step,right,1,1.385427952,7
1,step,left,1,4.851400852,4
1,step,right,0,1.977645874,6
1,step,right,0,2.78956604,6
1,step,right,1,2.788336992,5
1,step,right,1,2.5081532,6
1,step,right,0,3.352751017,5
1,swing,left,1,3.899972916,7
1,swing,left,1,2.862111092,7
1,swing,right,1,2.038464069,7
1,swing,left,0,1.9716959,7
1,swing,right,0,2.668066978,6
1,swing,left,0,2.153142929,6
1,swing,left,0,2.531275034,7
1,swing,right,1,2.635129929,7
1,swing,left,1,2.486231089,6
1,swing,right,0,3.36969018,6
2,rotation,right,1,2.576380014,7
2,rotation,left,1,3.202094078,5
2,rotation,right,1,2.31925106,6
2,rotation,right,0,8.081503153,3
2,rotation,right,1,2.040958166,7
2,rotation,left,1,2.365714073,5
2,rotation,right,1,2.846363068,6
2,rotation,right,1,2.465671062,5
2,rotation,left,1,1.691747904,7
2,rotation,left,1,1.930921793,5
2,swing,right,1,3.326428175,7
2,swing,left,1,2.562937021,7
2,swing,right,1,2.853879929,7
2,swing,left,1,3.793550968,5
2,swing,right,1,4.472558975,5
2,swing,right,1,4.415047884,6
2,swing,left,1,2.298997879,6
2,swing,right,1,3.623192072,6
2,swing,left,1,2.802175999,7
2,swing,left,1,2.713999033,6
2,step,right,0,5.31922698,3
2,step,right,1,4.012310028,4
2,step,left,1,4.890069962,5
2,step,right,1,5.942555904,6
2,step,left,1,11.9653759,5
2,step,right,1,4.935295105,5
2,step,right,1,2.192317963,6
2,step,left,1,4.566803932,6
2,step,left,0,3.282646894,6
2,step,left,1,4.037823915,6
3,step,right,1,6.508915901,5
3,step,left,1,7.045209885,6
3,step,left,1,7.385339022,5
3,step,right,1,5.365301847,6
3,step,left,1,7.883946896,4
3,step,right,1,6.840631962,5
3,step,right,0,12.80140591,3
3,step,right,1,4.37902689,6
3,step,right,1,8.515354156,5
3,step,left,1,7.81498313,5
3,rotation,left,1,1.810817957,6
3,rotation,right,1,6.213195801,4
3,rotation,left,0,2.318089008,4
3,rotation,left,1,3.133468866,5
3,rotation,left,1,3.373842001,6
3,rotation,left,1,3.299329042,5
3,rotation,right,1,3.014457226,5
3,rotation,right,1,2.98326683,4
3,rotation,left,0,3.515963078,4
3,rotation,left,1,3.406502962,5
3,swing,left,1,2.752171993,6
3,swing,left,1,4.426959038,4
3,swing,right,1,2.483201027,6
3,swing,right,1,3.09632802,5
3,swing,left,1,5.221127033,4
3,swing,left,1,5.104464054,5
3,swing,right,1,2.50840497,6
3,swing,left,1,3.158941031,5
3,swing,right,1,2.502791882,6
3,swing,right,1,2.333333015,6
4,step,right,1,1.094837904,7
4,step,left,1,1.836024046,7
4,step,right,1,1.306102991,7
4,step,left,1,1.027162075,7
4,step,right,1,1.001597881,7
4,step,left,1,1.083159208,7
4,step,left,1,1.047948837,7
4,step,right,1,1.092928171,7
4,step,left,1,1.006554127,7
4,step,right,1,1.200201035,7
4,swing,left,1,2.586498976,6
4,swing,right,1,1.005923033,5
4,swing,right,1,2.275068045,5
4,swing,left,1,1.722298145,5
4,swing,right,0,1.591048002,4
4,swing,right,1,2.337684155,6
4,swing,right,1,2.648376942,4
4,swing,left,1,6.084686995,2
4,swing,left,1,2.677967787,7
4,swing,right,1,2.164475918,7
4,rotation,right,1,1.403815031,7
4,rotation,right,1,1.408399105,7
4,rotation,left,1,2.057689905,4
4,rotation,left,1,2.328197002,2
4,rotation,right,1,1.571892023,7
4,rotation,left,1,1.717010021,7
4,rotation,right,1,1.377213001,6
4,rotation,left,1,1.426084042,7
4,rotation,right,1,1.265022993,7
4,rotation,left,1,2.343816996,7
5,swing,left,0,4.112450123,5
5,swing,left,1,4.208166122,4
5,swing,left,0,4.692723989,4
5,swing,right,1,7.956671953,2
5,swing,left,1,8.501410961,3
5,swing,left,0,7.785430193,2
5,swing,right,0,2.013744116,7
5,swing,left,0,6.079957008,4
5,swing,left,1,9.440280914,1
5,swing,left,1,9.059202909,2
5,rotation,left,1,6.196141005,4
5,rotation,left,0,3.719761848,3
5,rotation,left,0,4.05748415,3
5,rotation,left,1,5.005766869,2
5,rotation,left,0,6.202374935,2
5,rotation,right,1,5.309432983,1
5,rotation,left,1,6.329326153,3
5,rotation,right,0,5.158957005,2
5,rotation,left,0,4.681499004,1
5,rotation,left,1,5.896980047,2
5,step,left,1,8.993990898,2
5,step,right,1,1.540691137,5
5,step,right,0,9.434290886,3
5,step,left,0,2.756181002,2
5,step,right,0,4.57109499,3
5,step,left,1,5.937005997,3
5,step,left,0,9.644584894,2
5,step,right,1,3.355677128,3
5,step,right,1,7.484562874,2
5,step,right,0,12.86504388,1
6,swing,left,1,2.276478052,5
6,swing,right,1,2.172614813,7
6,swing,right,1,1.723634005,7
6,swing,left,1,1.350677013,7
6,swing,left,0,1.001244068,2
6,swing,right,1,1.384854078,7
6,swing,left,1,1.401055813,7
6,swing,right,1,1.249388218,7
6,swing,left,1,1.311783791,7
6,swing,left,1,2.161085129,7
6,step,left,1,4.436488867,3
6,step,left,1,2.98422718,5
6,step,right,1,1.068724155,6
6,step,right,1,1.539088011,4
6,step,left,1,1.075335979,7
6,step,right,1,1.013664961,4
6,step,right,1,1.326699972,6
6,step,left,1,1.182062149,6
6,step,left,1,1.07869792,7
6,step,right,1,1.00967598,7
6,rotation,right,1,2.272668839,3
6,rotation,left,1,1.01493907,5
6,rotation,left,1,1.012687922,5
6,rotation,right,1,2.011126995,7
6,rotation,right,1,1.462384939,6
6,rotation,left,0,1.008095026,1
6,rotation,left,1,1.404010057,3
6,rotation,right,1,1.26403904,5
6,rotation,left,1,1.122330904,5
6,rotation,left,1,1.01200819,6
